Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D6:6,SOD-123,D_SOD-123,224.631250,5.556250,90.000000,bottom
D6:7,SOD-123,D_SOD-123,205.581250,5.556250,90.000000,bottom
D6:8,SOD-123,D_SOD-123,186.531250,5.556250,90.000000,bottom
D6:9,SOD-123,D_SOD-123,167.481250,5.556250,90.000000,bottom
D7:0,SOD-123,D_SOD-123,357.981250,-13.493750,90.000000,bottom
D7:1,SOD-123,D_SOD-123,338.931250,-13.493750,90.000000,bottom
D7:2,SOD-123,D_SOD-123,310.356250,-13.493750,90.000000,bottom
D7:3,SOD-123,D_SOD-123,281.781250,-13.493750,90.000000,bottom
D7:4,SOD-123,D_SOD-123,262.731250,-13.493750,90.000000,bottom
D7:5,SOD-123,D_SOD-123,243.681250,-13.493750,90.000000,bottom
D7:6,SOD-123,D_SOD-123,224.631250,-13.493750,90.000000,bottom
D7:7,SOD-123,D_SOD-123,205.581250,-13.493750,90.000000,bottom
D7:8,SOD-123,D_SOD-123,186.531250,-13.493750,90.000000,bottom
D7:9,SOD-123,D_SOD-123,167.481250,-13.493750,90.000000,bottom
D8:0,SOD-123,D_SOD-123,357.981250,-32.543750,90.000000,bottom
D8:1,SOD-123,D_SOD-123,338.931250,-32.543750,90.000000,bottom
D8:2,SOD-123,D_SOD-123,315.118750,-32.543750,90.000000,bottom
D8:3,SOD-123,D_SOD-123,291.306250,-32.543750,90.000000,bottom
D8:4,SOD-123,D_SOD-123,272.256250,-32.543750,90.000000,bottom
D8:5,SOD-123,D_SOD-123,253.206250,-32.543750,90.000000,bottom
D8:6,SOD-123,D_SOD-123,234.156250,-32.543750,90.000000,bottom
D8:7,SOD-123,D_SOD-123,215.106250,-32.543750,90.000000,bottom
D8:8,SOD-123,D_SOD-123,196.056250,-32.543750,90.000000,bottom
D8:9,SOD-123,D_SOD-123,177.006250,-32.543750,90.000000,bottom
D9:0,SOD-123,D_SOD-123,357.981250,-51.593750,90.000000,bottom
D9:1,SOD-123,D_SOD-123,338.931250,-51.593750,90.000000,bottom
D9:2,SOD-123,D_SOD-123,357.981250,5.556250,90.000000,bottom
D9:3,SOD-123,D_SOD-123,310.356250,-51.593750,90.000000,bottom
D9:4,SOD-123,D_SOD-123,277.018750,-51.593750,90.000000,bottom
D9:5,SOD-123,D_SOD-123,257.968750,-51.593750,90.000000,bottom
D9:6,SOD-123,D_SOD-123,238.918750,-51.593750,90.000000,bottom
D9:7,SOD-123,D_SOD-123,219.868750,-51.593750,90.000000,bottom
D9:8,SOD-123,D_SOD-123,200.818750,-51.593750,90.000000,bottom
D9:9,SOD-123,D_SOD-123,181.768750,-51.593750,90.000000,bottom
D10:0,SOD-123,D_SOD-123,357.981250,-70.643750,90.000000,bottom
D10:1,SOD-123,D_SOD-123,338.931250,-70.643750,90.000000,bottom
D10:4,SOD-123,D_SOD-123,305.593750,-70.643750,90.000000,bottom
D10:5,SOD-123,D_SOD-123,267.493750,-70.643750,90.000000,bottom
D10:6,SOD-123,D_SOD-123,248.443750,-70.643750,90.000000,bottom
D10:7,SOD-123,D_SOD-123,229.393750,-70.643750,90.000000,bottom
D10:8,SOD-123,D_SOD-123,210.343750,-70.643750,90.000000,bottom
D10:9,SOD-123,D_SOD-123,191.293750,-70.643750,90.000000,bottom
D11:0,SOD-123,D_SOD-123,357.981250,-89.693750,90.000000,bottom
D11:1,SOD-123,D_SOD-123,338.931250,-89.693750,90.000000,bottom
D11:2,SOD-123,D_SOD-123,319.881250,-89.693750,90.000000,bottom
D11:3,SOD-123,D_SOD-123,300.831250,-89.693750,90.000000,bottom
D11:4,SOD-123,D_SOD-123,281.781250,-89.693750,90.000000,bottom
D11:5,SOD-123,D_SOD-123,262.731250,-89.693750,90.000000,bottom
D11:6,SOD-123,D_SOD-123,243.681250,-89.693750,90.000000,bottom
FUSE_USB1,500mA,Fuse_1206_3216Metric,109.601000,0.381000,90.000000,bottom
R:HWB1,10k,R_0805_2012Metric,150.622000,-91.059000,45.000000,bottom
R_D+1,22,R_0805_2012Metric,113.665000,-5.334000,90.000000,bottom
R_D-1,22,R_0805_2012Metric,110.966250,-5.365750,90.000000,bottom
R_RESET1,10k,R_0805_2012Metric,144.653000,-70.612000,225.000000,bottom
Y_CLOCK1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,155.720142,-73.836777,135.000000,bottom
